Dataset,Method,Quality,Image,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Kodak,JPEG,80,kodim11.png,1.6112263997395833,35.05302054267152,0.9887787103652954,0.13080599904060364,14.895485826125388,1152.0,77.3388671875
Kodak,JPEG,90,kodim11.png,2.39068603515625,37.92933674598465,0.9934877157211304,0.07570328563451767,10.03895938114325,1152.0,114.7529296875
Kodak,JPEG,10,kodim12.png,0.2373046875,28.755396887819202,0.879530131816864,0.5466204881668091,101.1358024691358,1152.0,11.390625
Kodak,JPEG,20,kodim12.png,0.3609822591145833,31.33380953415641,0.936143159866333,0.43256309628486633,66.4852617933833,1152.0,17.3271484375
Kodak,JPEG,30,kodim12.png,0.472900390625,32.76614714123471,0.9575072526931763,0.34579581022262573,50.75064532782653,1152.0,22.69921875
Kodak,JPEG,40,kodim12.png,0.568359375,33.72932859472006,0.9672646522521973,0.28757306933403015,42.22680412371134,1152.0,27.28125
Kodak,JPEG,50,kodim12.png,0.65875244140625,34.54266987976184,0.9745334982872009,0.2504114806652069,36.43250254794774,1152.0,31.6201171875
Kodak,JPEG,60,kodim12.png,0.7611287434895834,35.20570762083946,0.9780865907669067,0.22080735862255096,31.532116222501404,1152.0,36.5341796875
Kodak,JPEG,70,kodim12.png,0.9162190755208334,36.139279443352706,0.9826548099517822,0.1876988261938095,26.194608518008614,1152.0,43.978515625
Kodak,JPEG,80,kodim12.png,1.1671549479166667,37.455207524287346,0.9877297878265381,0.1497841477394104,20.56282247943104,1152.0,56.0234375
Kodak,JPEG,90,kodim12.png,1.7842203776041667,39.7989979952625,0.9924585223197937,0.09444825351238251,13.451253164268284,1152.0,85.642578125
Kodak,JPEG,10,kodim13.png,0.5036824544270834,22.79366154592737,0.8919392824172974,0.5099668502807617,47.649068950195904,1152.0,24.1767578125
Kodak,JPEG,20,kodim13.png,0.83599853515625,24.66109895581014,0.9445043802261353,0.34495362639427185,28.708184273928598,1152.0,40.1279296875
Kodak,JPEG,30,kodim13.png,1.10595703125,25.860687836931426,0.9610821604728699,0.2692757844924927,21.70066225165563,1152.0,53.0859375
Kodak,JPEG,40,kodim13.png,1.324462890625,26.761549161931715,0.9695073366165161,0.23188307881355286,18.120552995391705,1152.0,63.57421875
Kodak,JPEG,50,kodim13.png,1.5336710611979167,27.57239954340303,0.9754650592803955,0.1952267587184906,15.64872716660255,1152.0,73.6162109375
Kodak,JPEG,60,kodim13.png,1.7616780598958333,28.425310588895645,0.9795740842819214,0.1676507145166397,13.623374523617047,1152.0,84.560546875
Kodak,JPEG,70,kodim13.png,2.1031087239583335,29.657423317455446,0.9841912984848022,0.13569389283657074,11.411678210734047,1152.0,100.94921875
Kodak,JPEG,80,kodim13.png,2.65765380859375,31.592053533165338,0.989256739616394,0.09302326291799545,9.030521553406977,1152.0,127.5673828125
Kodak,JPEG,90,kodim13.png,3.8288981119791665,35.243199247954074,0.9943320751190186,0.04644576460123062,6.26812187164582,1152.0,183.787109375
Kodak,JPEG,10,kodim14.png,0.37750244140625,25.065257876837414,0.8885208368301392,0.5033952593803406,63.575747776879545,1152.0,18.1201171875
Kodak,JPEG,20,kodim14.png,0.6297200520833334,27.357413913515973,0.9423338174819946,0.3438796401023865,38.11217368829155,1152.0,30.2265625
Kodak,JPEG,30,kodim14.png,0.82696533203125,28.570662494661224,0.9602071642875671,0.2705003321170807,29.0217728245627,1152.0,39.6943359375
Kodak,JPEG,40,kodim14.png,0.9950968424479166,29.39978886353458,0.9685928821563721,0.23188751935958862,24.118255607123142,1152.0,47.7646484375
Kodak,JPEG,50,kodim14.png,1.1484578450520833,30.093780492886392,0.9743430614471436,0.20348092913627625,20.897588974118232,1152.0,55.1259765625
Kodak,JPEG,60,kodim14.png,1.3142293294270833,30.79826760998548,0.9784051179885864,0.18254199624061584,18.26165301794201,1152.0,63.0830078125
Kodak,JPEG,70,kodim14.png,1.56591796875,31.75596211387647,0.9829621315002441,0.147141233086586,15.326473339569691,1152.0,75.1640625
Kodak,JPEG,80,kodim14.png,1.9753824869791667,33.22623555057206,0.9877796173095703,0.10891894996166229,12.149545800976373,1152.0,94.818359375
Kodak,JPEG,90,kodim14.png,2.91351318359375,36.17971678754439,0.9934098124504089,0.06002877652645111,8.237477741698964,1152.0,139.8486328125
Kodak,JPEG,10,kodim15.png,0.2592976888020833,27.77789826014874,0.8741445541381836,0.5275583267211914,92.55770890545313,1152.0,12.4462890625
Kodak,JPEG,20,kodim15.png,0.3866780598958333,30.124048153369536,0.9323441386222839,0.4126286506652832,62.06713669367568,1152.0,18.560546875
Kodak,JPEG,30,kodim15.png,0.4999186197916667,31.409320714782485,0.9520522952079773,0.3313922584056854,48.00781377177275,1152.0,23.99609375
Kodak,JPEG,40,kodim15.png,0.5958455403645834,32.21178040522141,0.9623002409934998,0.2823559045791626,40.27889507289924,1152.0,28.6005859375
Kodak,JPEG,50,kodim15.png,0.6921590169270834,32.93381032326694,0.9690107107162476,0.2526046633720398,34.674113047823404,1152.0,33.2236328125
Kodak,JPEG,60,kodim15.png,0.7988077799479166,33.596208973052775,0.9733812212944031,0.22825264930725098,30.044774978987853,1152.0,38.3427734375
Kodak,JPEG,70,kodim15.png,0.9606730143229166,34.55212108961473,0.9790489077568054,0.19569623470306396,24.982485863741292,1152.0,46.1123046875
Kodak,JPEG,80,kodim15.png,1.23529052734375,35.838492137111764,0.9848484992980957,0.15642037987709045,19.42862789663521,1152.0,59.2939453125
Kodak,JPEG,90,kodim15.png,1.9045003255208333,38.26555291259664,0.9908207654953003,0.09981692582368851,12.60173058433928,1152.0,91.416015625
Kodak,JPEG,10,kodim16.png,0.2656046549479167,27.750891130244405,0.8717601299285889,0.5944400429725647,90.35986212179242,1152.0,12.7490234375
